model,k_regimes,order,rmse,mae,mape,aic,bic,fit_seconds,test_regime_prob_mean,test_regime_prob_last,train_regime_prob_last
MarkovAR_2reg_p1,2,1,664.626695881038,578.7986051657745,3.529450088477401,39376.44256416458,39425.71756205878,1.7139403820037842,"[0.608932732588616, 0.6056817105330107]","[0.6076971205780601, 0.6076971205780598]","[0.6076971205780601, 0.6076971205780598]"
MarkovAR_4reg_p1,4,1,588.9682104499586,510.49191022915033,3.1157544913305126,39018.828107399095,39166.653101081705,17.602673053741455,"[0.30156316012762835, 0.3020330179185199, 0.2978646443084346, 0.29969852394667995]","[0.29954318363499255, 0.29954318363499255, 0.29954318363499255, 0.2995431836349925]","[0.29954318363499255, 0.29954318363499255, 0.29954318363499255, 0.2995431836349925]"
