regime,count,mean,std,min,max
2010-2015,1564,10457.713062491259,1717.7047698700565,8292.7001953125,14697.0
2016-2020,1305,13917.733138020832,641.5303810192098,12770.0,16504.80078125
2021-2023,781,14793.553051976633,506.9765857887647,13828.13671875,15920.0
2024-2026,626,16296.263537714656,514.665312887796,15069.400390625,17840.0
