change_days,mean_abs_usdret_on_change,mean_abs_usdret_no_change,corr_change_flag_abs_usdret,mean_delta,median_delta,feature
13,0.007363228583755744,0.004378165835166306,0.03501612252230751,-0.11267844935086463,-0.16776294983335038,CPI
39,0.007022544714864774,0.00435956405362305,0.053903460832503476,-0.019230769230769232,-0.25,BI_rate
117,0.00463065385958941,0.004380906875661619,0.00865675989960681,0.04230769230769231,0.010000000000000009,US_rate
