Date,beta.lag1,beta.lag2,beta.lag3,beta.lag4,beta.lag5
2010-01-12,-0.06793567749325438,-0.0628870494973535,0.05720888347023066,-0.09159727005337563,-0.06204595382431795
2010-01-13,-0.10167860437432513,0.040473242346599284,0.14918146560689333,-0.1739953353956434,0.07658373684524632
2010-01-14,-0.11678882773754697,0.03939803875637026,0.10080430692639669,-0.2011319049407387,0.08967358473966189
2010-01-15,0.7613050407501324,0.25604297689455346,0.0828630421426117,-0.810444982609892,-0.2083804682740463
2010-01-18,2.594519391321214,-3.818402864188391,0.5699722151988857,-1.09504524527347,2.7833504340628648
2010-01-19,-0.659775970742968,0.1488870624145444,0.19712924820332706,-0.2534903536961203,-0.028681195012357108
2010-01-20,-0.2898365708434128,-0.26684017030286267,0.5752187860404441,-0.2936591124562762,0.2871270359731051
2010-01-21,-0.27716071113759555,-0.24751676000314543,0.5692287829087908,-0.2959943580799899,0.28028131289075287
2010-01-22,-0.27992822157616726,-0.4122128970050894,0.3820929021635302,-0.23679517967014385,0.2824031059605474
2010-01-25,-0.407815446729328,-0.44927540889448075,0.5467426591833013,0.04676619539863869,0.18466356327848435
2010-01-26,-0.21937809919328094,-0.6857701162495768,0.34151882861653704,0.0850198330995823,0.711022271725073
2010-01-27,-0.12054701088059927,-0.6248922861999607,0.38652122356964513,0.008959502838557454,0.7042009164632054
2010-01-28,-0.11876193995146668,-0.5870940310049909,0.4076972599737475,0.023379186596532812,0.673514644404699
2010-01-29,0.057871028990813186,-0.5711689432188314,0.1795866367176963,-0.32814895352821283,0.4362518191167769
2010-02-01,0.10363444001075961,-0.4870233665547258,0.16154653029228794,-0.38832716922160815,0.34427187714291063
2010-02-02,0.10393982802742048,-0.51739448873813,0.14170327997939422,-0.3918566860924076,0.364247926623858
2010-02-03,0.12113258137773689,-0.5246573848028562,0.11991098880263987,-0.4219341688011867,0.3656810054240284
2010-02-04,0.14091952058410812,-0.49061779336260514,0.1147272061682278,-0.45867679873773387,0.3199627446604791
2010-02-05,0.1687895410435164,-0.37068449557598804,0.1988220245584379,-0.42035735204212454,0.22723588564791114
2010-02-08,0.2039651632476748,-0.36271833931729375,0.2308666638588417,-0.40452293383717325,0.24805711479209638
2010-02-09,0.1566860356068389,-0.47449648502974956,0.14818810868884963,-0.49425532602902256,0.16051914254970917
2010-02-10,0.16141496283940565,-0.4753941821288098,0.14620950647333447,-0.4962689873750102,0.15985824937623838
2010-02-11,0.16140279023436288,-0.4545736956560244,0.14187805792969047,-0.5036804206287616,0.15105560855840314
2010-02-12,0.16178867515519418,-0.4534124996344837,0.14644249202064177,-0.5036569844037664,0.14940632771666545
2010-02-15,0.1580521968622737,-0.44346878440866966,0.1562414121392412,-0.4479759208872356,0.1445177514661277
