config,rmse,mae,mape
ar_only,1171.6979640518782,986.4740549360149,5.997442858904376
ar_plus_stepwise,1802.4933275638805,1645.2483826579166,10.063765296281394
ar_plus_stepwise_market,2083.584865201005,1831.824715119376,11.171404200162554
ar_plus_stepwise_market_interactions,2133.0179397943957,1942.3307828849627,11.883503616218807
