Date,beta.lag1,beta.lag2,beta.lag3,beta.lag4,beta.lag5,beta.lag6,beta.lag7,beta.lag8,beta.lag9,beta.lag10
2010-01-19,-0.25547833751756804,0.1868902209507263,0.039344899752847835,-0.0797542276745289,0.060880098924729904,-0.17173899462557815,-0.15897624126464116,0.14462203798298526,-0.23155466538147484,-0.15684998109324017
2010-01-20,-0.08458406832343485,-0.007393968560198166,0.2713005181249153,-0.07584087486791585,0.0015238890918176998,-0.19034380739739085,-0.4347936495591112,0.03817770221235012,-0.18573922881217367,-0.49939662655014805
2010-01-21,-0.21635209726056548,-0.12823987173939394,0.3646598679966976,-0.18422816469336345,-0.010599010349304406,-0.12892744799395223,-0.3946621306146103,0.15933469617495175,-0.08967631605286147,-0.49296316153130704
2010-01-22,-0.22000550012183342,-0.28750019095388946,0.1542802242741427,-0.026560043470365946,-0.22102939182302664,-0.33760833987770306,-0.46833098161889525,0.36058114558010423,-0.028897308535004496,-0.4924063627724505
2010-01-25,-0.2914211947668071,-0.29847900409806866,0.2344215249424191,0.1505378137390941,-0.3405271853127078,-0.22257078306417172,-0.36596988889118337,0.36452278198342936,-0.151169343176908,-0.5510583769488335
2010-01-26,-0.02252381469927356,-0.4986450502456574,0.2863174305135664,0.4080873204193539,0.37433644306391506,-0.5164223713997109,0.20260948292993036,0.7244510014470695,-0.1808691358144068,-0.9468412965846279
2010-01-27,0.1298126099739857,-0.3829090279797729,0.2663345979112521,0.4056431293668909,0.3719482496976893,-0.3334198648726874,0.11565488600730886,0.955284377576625,-0.18079570019486765,-0.9612740031080428
2010-01-28,0.15789542958702427,-0.08915443808530388,0.4216564857720923,0.41790213706313883,0.19816849911723494,-0.48696016043808865,0.262117524738064,0.9720729338653601,0.09042749041888712,-1.0569783663439234
2010-01-29,-0.10055005091875166,-0.016974155083028852,-0.5287136145238456,0.05577734165148812,0.08717876158604823,-0.03433484993223307,0.5525155025327978,0.7105214050538129,0.3102939607320727,-2.003030793120307
2010-02-01,0.35299368627777994,-0.15282731953579048,-0.47167822325692405,-0.6069741864725646,-0.38200291884782966,-0.24878474713491824,0.9705797717944027,0.7993282136641463,-0.24966937025882563,-2.0148261404306105
2010-02-02,0.6130563951287316,-0.6732971945297495,-0.002107145851393377,-0.21032880357611716,0.5279774150500203,0.04047007719938042,0.45002320140316154,-0.4457415571991924,-0.3268123255807489,-0.8231005805231735
2010-02-03,0.6120835180621642,-0.6719305598923622,0.0025012197496413965,-0.2058928466623412,0.5286521975828337,0.03260399883980086,0.4448021404167552,-0.4527522729733771,-0.3211373635791462,-0.8209603018862868
2010-02-04,0.6172944608964336,-0.6730159329710813,0.0069409745083516,-0.16066338749851583,0.5286751281436192,0.03849209779357324,0.41210198087300887,-0.46399515901656474,-0.3521697772101411,-0.7921720783791181
2010-02-05,1.4331634096479344,-0.664839735818744,0.34292200677880336,-0.22935071294192638,0.4964388266653524,-0.38293204219108745,-0.05158138643406052,0.40864393625852746,0.42532000987501384,0.2784891926793437
2010-02-08,-0.00017225551441013565,-0.6264573031047588,0.24445930270278915,-1.0641223533893018,0.4183940693604201,-0.4040824565644437,0.2432041206096568,0.5152840792798382,0.5012424263922433,0.29803582523829786
2010-02-09,0.05319890650466708,-0.7189285879521531,0.23790924272787062,-1.109792048258286,0.41284270554731056,-0.44371698807070514,0.2953314856473486,0.7655654275950204,0.44211239691757076,0.2231294656338102
2010-02-10,-0.39678604794000394,-0.7576884262074417,0.3576895462512143,-1.0133460305989808,0.49558667316368155,-0.45106150678931,0.31557932253935966,0.7307184008436757,0.3799920229166621,0.2664014172416226
2010-02-11,-0.3955996132215581,-0.7618356988731951,0.3488717837136344,-0.9308863945501739,0.48852287781325626,-0.4428622494186043,0.3284586937744864,0.7423908443019184,0.37251122677251414,0.2521327718845251
2010-02-12,-0.34448898153193197,-0.8194251123962232,0.4270906739261852,-1.0200951180152433,0.487592605094647,-0.4718060067143565,0.31583188661556205,0.576527621303035,0.32853329155734556,0.305918020274987
2010-02-15,-0.3457834556404533,-0.7713616270226357,0.3341606199370506,-0.2966762413266978,0.4227565294871624,-0.6743457391992621,0.3066012686648594,0.39098811353834306,0.26621494042182553,0.32455581263964395
2010-02-16,-0.42904863596728116,-0.7698596349228274,0.4556171900421465,-0.3812880463289686,0.620750817741123,-0.8135544956742995,0.25999329192208026,0.2907946966016526,0.11364062501389172,0.09928264611473539
