model,order,rmse,mae,mape,aic,bic,fit_seconds
SSM_AR10_baseline,10,1274.9868571428158,1122.9037791901997,6.838803575786943,40504.08697027825,40571.811737791686,0.13842415809631348
SSM_AR21_baseline,21,1275.2905734248423,1123.21675287284,6.840729168486244,40360.00748240834,40495.38750710882,0.5276422500610352
SSM_AR5_baseline,5,1283.948373630589,1132.6197179374815,6.898973097051806,40570.0736041313,40607.022983633055,0.06626486778259277
SSM_AR1_baseline,1,1287.7964727583344,1136.810903963731,6.924939008854324,40650.89051974571,40663.20926921927,0.03666090965270996
SSM_AR3_baseline,3,1288.977488843195,1138.0960473840619,6.9329006203919645,40618.9460527522,40643.58126271498,0.04798698425292969
