year,rmse,mae,mape
2023,445.5341608877752,365.66454010172384,2.3555861049519167
2024,915.2835599766438,856.7444087918452,5.3674549018359805
2025,1475.5325900839493,1459.9425976408527,8.859878109744118
2026,2068.0235463087924,2046.28212094066,11.985078843533408
