Date,pred,actual
2023-06-01,15001.601974948007,14984.0
2023-06-02,15034.309796187374,14907.0
2023-06-05,15060.655516892857,14983.0
2023-06-06,15081.545838030954,14849.5
2023-06-07,15106.388631820413,14872.0
2023-06-08,15155.02117212376,14889.0
2023-06-09,15189.26991947802,14836.0
2023-06-12,15229.815433526739,14833.0
2023-06-13,15243.530246638686,14871.5
2023-06-14,15287.050107362114,14869.0
2023-06-15,15323.922931675066,14909.0
2023-06-16,15355.6164106109,14897.0
2023-06-19,15398.799998950934,14928.0
2023-06-20,15422.284836387173,15008.0
2023-06-21,15476.878842744929,15016.0
2023-06-22,15505.12227423886,14943.0
2023-06-23,15545.915994088378,14935.0
2023-06-26,15574.501641690631,14987.0
2023-06-27,15604.494699683424,15039.0
2023-06-28,15634.19952396983,14982.5
2023-06-29,15663.968477496343,14981.0
2023-06-30,15634.042711268145,15064.0
2023-07-03,15622.569580869638,14986.0
2023-07-04,15612.930809673826,15056.0
2023-07-05,15603.361646183634,15010.0
2023-07-06,15571.774715361764,15077.0
2023-07-07,15544.399826554622,15189.2998046875
2023-07-10,15517.023898447582,15128.0
2023-07-11,15489.028773449725,15216.0
2023-07-12,15469.351761649694,15156.7998046875
2023-07-13,15463.679078985602,14928.0
2023-07-14,15471.632699809643,14954.0
2023-07-17,15480.38188948948,14951.0
2023-07-18,15472.210399008223,14982.5
2023-07-19,15458.564330528117,14986.0
2023-07-20,15422.61934556936,14992.0
2023-07-21,15379.194745154186,15051.5
2023-07-24,15339.375158452225,15018.0
2023-07-25,15298.28379028102,15021.5
2023-07-26,15253.488287705355,15032.0
2023-07-27,15196.376469948495,15007.0
2023-07-28,15156.170540750067,15095.0
2023-07-31,15135.788862887119,15088.0
2023-08-01,15134.388713707223,15104.0
2023-08-02,15126.69785192241,15131.0
2023-08-03,15110.02158345424,15220.0
2023-08-04,15081.49835753069,15161.0
2023-08-07,15067.498153729142,15163.0
2023-08-08,15047.60480972582,15232.0
2023-08-09,15046.024412940296,15207.2001953125
2023-08-10,15027.224500652963,15207.0
2023-08-11,15027.221185856204,15259.0
2023-08-14,15016.680639187833,15317.0
2023-08-15,15007.104455445433,15347.0
2023-08-16,14979.898629764228,15311.5
2023-08-17,14971.16071968153,15362.0
2023-08-18,14946.49693827203,15362.5
2023-08-21,14925.396589700153,15278.0
2023-08-22,14905.456879424239,15318.900390625
2023-08-23,14910.641969089444,15317.0
2023-08-24,14906.616034039,15294.099609375
2023-08-25,14893.73036458852,15239.0
2023-08-28,14888.623970879948,15288.0
2023-08-29,14888.280093087733,15255.5
2023-08-30,14905.557444641452,15196.5
2023-08-31,14904.9674687683,15216.0
2023-09-01,14889.703392607458,15231.0
2023-09-04,14879.456149982076,15233.0
2023-09-05,14885.022897442428,15227.0
2023-09-06,14920.787671778986,15298.0
2023-09-07,14944.649688300979,15336.0
2023-09-08,14956.899869375182,15342.0
2023-09-11,14971.411243049253,15318.0
2023-09-12,15004.541406132557,15339.099609375
2023-09-13,15056.922104254758,15350.2001953125
2023-09-14,15127.23352923721,15353.0
2023-09-15,15162.386745336798,15395.0
2023-09-18,15204.522052744009,15346.0
2023-09-19,15244.81491095365,15377.0
2023-09-20,15258.206916524945,15384.5
2023-09-21,15269.133407370393,15361.0
2023-09-22,15252.150718285797,15400.5
2023-09-25,15229.861576079826,15368.0
2023-09-26,15204.064225449492,15405.0
2023-09-27,15202.106256451176,15493.0
2023-09-28,15207.92496711678,15569.0
2023-09-29,15209.340089295769,15474.0
2023-10-02,15218.722412082298,15448.0
2023-10-03,15226.44256483291,15516.0
2023-10-04,15221.617224505706,15622.0
2023-10-05,15229.390129495356,15591.0
2023-10-06,15217.615732207103,15631.0
2023-10-09,15226.476892673862,15603.0
2023-10-10,15225.688128792555,15691.400390625
2023-10-11,15208.903212822088,15718.5
2023-10-12,15199.901599779998,15693.0
2023-10-13,15175.667777941011,15739.0
2023-10-16,15170.292772460305,15676.0
2023-10-17,15139.87608476736,15675.0
2023-10-18,15106.413964609732,15728.2001953125
2023-10-19,15105.080494731663,15807.0
2023-10-20,15085.066422582908,15856.0
2023-10-23,15082.206933148142,15868.0
2023-10-24,15055.516313150147,15874.0
2023-10-25,15063.520444913327,15868.0
2023-10-26,15062.63793885786,15877.5
2023-10-27,15088.73905034167,15920.0
2023-10-30,15080.356542564305,15903.5
2023-10-31,15072.429269650556,15843.0
2023-11-01,15073.17851969214,15748.7001953125
2023-11-02,15079.879709271514,15900.0
2023-11-03,15106.243666757935,15838.0
2023-11-06,15118.936171570364,15582.099609375
2023-11-07,15129.936301884842,15570.0
2023-11-08,15128.465884043506,15643.599609375
2023-11-09,15132.516612128253,15616.0
2023-11-10,15164.190329238927,15713.7001953125
2023-11-13,15175.068016007264,15683.0
2023-11-14,15180.674130416115,15667.0
2023-11-15,15183.437541529203,15281.0
2023-11-16,15195.347515312864,15487.7998046875
2023-11-17,15215.13248338532,15475.0
2023-11-20,15190.81911632752,15399.400390625
2023-11-21,15175.074355763974,15382.099609375
2023-11-22,15209.81845708434,15501.2998046875
2023-11-23,15220.747959257684,15612.7998046875
2023-11-24,15240.788774458983,15495.0
2023-11-27,15214.645873812791,15560.0
2023-11-28,15200.957085183962,15466.5
2023-11-29,15223.844700185757,15259.0
2023-11-30,15244.813181417048,15407.0
2023-12-01,15262.840973795577,15549.2998046875
2023-12-04,15230.738456232977,15437.400390625
2023-12-05,15198.006930614036,15519.900390625
2023-12-06,15205.355448887834,15457.0
2023-12-07,15234.179366134062,15480.0
2023-12-08,15256.23170930962,15500.0
2023-12-11,15245.122738577062,15560.2001953125
2023-12-12,15222.32877097537,15647.0
