feature,best_lag,best_pvalue,min_pvalue,best_ccf_lag,best_ccf
SP500,6,7.016717687259325e-55,7.016717687259325e-55,1,-0.22101600624144593
VIX,6,2.0123322260798394e-43,2.0123322260798394e-43,1,0.19191836223195494
IHSG,4,2.2673732216001948e-35,2.2673732216001948e-35,1,-0.1414181328653779
GOLD,4,6.939973750433303e-14,6.939973750433303e-14,1,-0.0803745083787447
OIL,2,2.520490105633227e-05,2.520490105633227e-05,86,0.05895131110533178
US_rate,12,0.00040038924023990156,0.00040038924023990156,74,-0.07721157452461332
CPI,2,0.25815893945642954,0.25815893945642954,59,-0.06206321714672249
BI_rate,10,0.652204684758543,0.652204684758543,10,-0.040112989121365725
