model,rmse,mae,mape
Avg__SSM_AR10_baseline__MarkovAR_4reg_p1,989.2505666331698,869.7279391265184,5.297276376844405
WeightedAvg_all4,1033.6515114139286,908.6828452355212,5.534059841650119
Avg__SSM_AR10_baseline__Break_2022_2023_AR10__MarkovAR_4reg_p1,1080.2359171894643,949.6062774460423,5.782924064056013
Avg__SSM_AR10_baseline__TVP_AR10__Break_2022_2023_AR10__MarkovAR_4reg_p1,1129.224506207718,993.2847680036418,6.048996414317283
