Date,pred,actual
2023-06-01,14974.73942924899,14984.0
2023-06-02,14947.188491560406,14907.0
2023-06-05,14929.86834071611,14983.0
2023-06-06,14941.752703067663,14849.5
2023-06-07,14916.597019668816,14872.0
2023-06-08,14913.297701320142,14889.0
2023-06-09,14895.089939620806,14836.0
2023-06-12,14881.28478743545,14833.0
2023-06-13,14873.192307617877,14871.5
2023-06-14,14863.703548323963,14869.0
2023-06-15,14833.07900045345,14909.0
2023-06-16,14844.279510107792,14897.0
2023-06-19,14831.58559845584,14928.0
2023-06-20,14806.899477796698,15008.0
2023-06-21,14840.896408002363,15016.0
2023-06-22,14871.808224613887,14943.0
2023-06-23,14880.064782808455,14935.0
2023-06-26,14884.539043010309,14987.0
2023-06-27,14948.487977798917,15039.0
2023-06-28,14982.078117890962,14982.5
2023-06-29,15013.06842443369,14981.0
2023-06-30,15022.278482733878,15064.0
2023-07-03,15018.3723770584,14986.0
2023-07-04,15028.426351945664,15056.0
2023-07-05,15051.161648009847,15010.0
2023-07-06,15046.129733903263,15077.0
2023-07-07,15075.191806154622,15189.2998046875
2023-07-10,15076.769437090867,15128.0
2023-07-11,15063.07327150572,15216.0
2023-07-12,15053.580426910663,15156.7998046875
2023-07-13,15001.287009901731,14928.0
2023-07-14,14960.991888950983,14954.0
2023-07-17,14919.64497208246,14951.0
2023-07-18,14887.005179121974,14982.5
2023-07-19,14890.731044401591,14986.0
2023-07-20,14904.70127403274,14992.0
2023-07-21,14924.856109686112,15051.5
2023-07-24,14927.0645915028,15018.0
2023-07-25,14945.637410190659,15021.5
2023-07-26,14916.118810629723,15032.0
2023-07-27,14942.979297627933,15007.0
2023-07-28,14952.132978791415,15095.0
2023-07-31,14937.721306799038,15088.0
2023-08-01,14971.774203509987,15104.0
2023-08-02,15030.847028431082,15131.0
2023-08-03,15051.475785899673,15220.0
2023-08-04,15081.622519244136,15161.0
2023-08-07,15119.73708141361,15163.0
2023-08-08,15140.063398070013,15232.0
2023-08-09,15171.47896520183,15207.2001953125
2023-08-10,15203.347824458908,15207.0
2023-08-11,15220.691639649946,15259.0
2023-08-14,15238.565735368595,15317.0
2023-08-15,15249.224428991178,15347.0
2023-08-16,15286.080373420737,15311.5
2023-08-17,15293.949853860253,15362.0
2023-08-18,15310.921546624155,15362.5
2023-08-21,15339.691284457956,15278.0
2023-08-22,15354.289223063255,15318.900390625
2023-08-23,15348.529557980348,15317.0
2023-08-24,15366.710967129968,15294.099609375
2023-08-25,15340.931368205509,15239.0
2023-08-28,15335.711350390935,15288.0
