feature,best_lag,best_p,sig_lags_p_lt_0.05,sig_lags_p_lt_0.01,median_p,p_at_lag1,p_at_lag5,p_at_lag10,p_at_lag20,p_at_lag60,p_at_lag90
SP500,6,7.016717687259325e-55,90,90,1.2502477536237427e-48,1.1259745969042682e-41,3.894391971578409e-51,2.5186402038939676e-52,5.476684061515839e-50,3.1999950506928186e-47,3.2264339624146885e-39
VIX,20,3.677442613566238e-44,90,90,3.915436589213161e-38,2.3131509867499064e-34,5.710909456723264e-41,1.254245307886665e-42,3.677442613566238e-44,1.9863884334209263e-36,2.8951201443107612e-30
IHSG,4,2.2673732216001948e-35,90,90,5.089710831856747e-29,2.6625110339760437e-24,1.3484005040174634e-33,5.858327604287125e-32,2.1554620906215487e-33,7.508593059775054e-28,2.0728121155731827e-21
US_rate,79,4.72454325349227e-15,83,80,1.7805103529546693e-10,0.15881775983551155,0.7375467230865365,0.032853367773504366,3.763641233475061e-06,3.390859696298648e-13,6.4960044983462334e-15
GOLD,4,6.939973750433303e-14,90,90,2.534026252260847e-10,3.994373772800366e-07,8.478025560809274e-14,8.512543271914854e-13,6.070449465343833e-12,2.117711901529651e-09,1.2374861168935702e-07
OIL,2,2.520490105633227e-05,54,37,0.01792354890773474,0.00026769784559325065,7.68102897961724e-05,0.0014780075117322045,0.006562255805757798,0.09294754803045549,0.09092530219902861
BI_rate,35,0.12679682110296311,0,0,0.5703837111733963,0.773091720437649,0.9827685066072336,0.652204684758543,0.8922070011841474,0.3376696669330409,0.5906492727106133
CPI,2,0.25815893945642954,0,0,0.8547257122106963,0.40941439524107104,0.37504370449936736,0.6259885451950112,0.7111941220102957,0.5958822356725886,0.9129668195694116
