Date,actual,predicted
2023-06-01,14984.0,14989.790271615338
2023-06-02,14907.0,14983.816373311984
2023-06-05,14983.0,14952.338857195924
2023-06-06,14849.5,14972.1875620246
2023-06-07,14872.0,15000.40785091196
2023-06-08,14889.0,14997.749190696763
2023-06-09,14836.0,15016.44456642882
2023-06-12,14833.0,15004.34410031472
2023-06-13,14871.5,15012.720214426572
2023-06-14,14869.0,15032.94069472041
2023-06-15,14909.0,15025.765346757164
2023-06-16,14897.0,15039.893492055035
2023-06-19,14928.0,15019.837105163833
2023-06-20,15008.0,15026.357008837267
2023-06-21,15016.0,15038.559816901485
2023-06-22,14943.0,15038.211441992806
2023-06-23,14935.0,15034.507411262835
2023-06-26,14987.0,15031.078068801218
2023-06-27,15039.0,15055.925199267016
2023-06-28,14982.5,15051.371184535214
2023-06-29,14981.0,15046.252932377953
2023-06-30,15064.0,15050.14225417799
2023-07-03,14986.0,15056.38591878801
2023-07-04,15056.0,15062.273422786926
2023-07-05,15010.0,15064.067441485946
2023-07-06,15077.0,15066.317174706193
2023-07-07,15189.2998046875,15091.987379635124
2023-07-10,15128.0,15086.469434488054
2023-07-11,15216.0,15092.177163356493
2023-07-12,15156.7998046875,15088.44041623941
2023-07-13,14928.0,15074.390022988919
2023-07-14,14954.0,15087.291440624498
2023-07-17,14951.0,15083.027789911566
2023-07-18,14982.5,15078.673511078672
2023-07-19,14986.0,15076.792605142044
2023-07-20,14992.0,15073.116327104093
2023-07-21,15051.5,15085.135567963285
2023-07-24,15018.0,15084.326403406636
2023-07-25,15021.5,15082.877289784947
2023-07-26,15032.0,15078.43675716352
2023-07-27,15007.0,15079.767593550761
2023-07-28,15095.0,15101.231954441693
2023-07-31,15088.0,15088.713416299111
2023-08-01,15104.0,15092.377928749649
2023-08-02,15131.0,15093.146485792562
2023-08-03,15220.0,15110.853790756144
2023-08-04,15161.0,15113.011886427674
2023-08-07,15163.0,15126.32979700294
2023-08-08,15232.0,15120.0870320823
2023-08-09,15207.2001953125,15120.493217255487
2023-08-10,15207.0,15121.319390038989
2023-08-11,15259.0,15124.021384877853
2023-08-14,15317.0,15120.1767161255
2023-08-15,15347.0,15117.097142935392
2023-08-16,15311.5,15137.253825391883
2023-08-17,15362.0,15137.240003487923
2023-08-18,15362.5,15157.070562333114
2023-08-21,15278.0,15153.992937475547
2023-08-22,15318.900390625,15152.904430088904
2023-08-23,15317.0,15156.208531613227
2023-08-24,15294.099609375,15148.385783834434
2023-08-25,15239.0,15173.853355282603
2023-08-28,15288.0,15158.63508382922
2023-08-29,15255.5,15154.806390208958
2023-08-30,15196.5,15144.358723338073
2023-08-31,15216.0,15139.239582406735
2023-09-01,15231.0,15146.744475677515
2023-09-04,15233.0,15141.010650991931
2023-09-05,15227.0,15139.96530981249
2023-09-06,15298.0,15153.14070853469
2023-09-07,15336.0,15155.266318963068
2023-09-08,15342.0,15163.701297434844
2023-09-11,15318.0,15162.479226139008
2023-09-12,15339.099609375,15160.910578336556
2023-09-13,15350.2001953125,15165.832342418775
2023-09-14,15353.0,15166.973461531215
2023-09-15,15395.0,15169.572309062929
2023-09-18,15346.0,15186.989784822696
2023-09-19,15377.0,15184.775231948597
2023-09-20,15384.5,15191.810068683493
2023-09-21,15361.0,15206.04879033094
2023-09-22,15400.5,15224.33196745487
2023-09-25,15368.0,15223.093650969518
2023-09-26,15405.0,15221.665848998959
2023-09-27,15493.0,15243.7345126076
2023-09-28,15569.0,15241.839013340583
2023-09-29,15474.0,15246.091252733653
2023-10-02,15448.0,15249.092433825173
2023-10-03,15516.0,15251.454084920131
2023-10-04,15622.0,15276.710700492595
2023-10-05,15591.0,15268.885367359908
2023-10-06,15631.0,15275.497341795688
2023-10-09,15603.0,15272.706221338385
2023-10-10,15691.400390625,15271.226419812478
2023-10-11,15718.5,15271.39702239938
2023-10-12,15693.0,15267.44902051676
2023-10-13,15739.0,15278.921807099863
2023-10-16,15676.0,15296.43621844289
2023-10-17,15675.0,15270.836602234252
2023-10-18,15728.2001953125,15285.260220939508
2023-10-19,15807.0,15298.938242037948
2023-10-20,15856.0,15313.734059695998
2023-10-23,15868.0,15319.094962431502
2023-10-24,15874.0,15318.200867056266
2023-10-25,15868.0,15322.31095402817
2023-10-26,15877.5,15340.402317163673
2023-10-27,15920.0,15349.05025971835
2023-10-30,15903.5,15358.613164410272
2023-10-31,15843.0,15351.135734321757
2023-11-01,15748.7001953125,15350.788138075159
2023-11-02,15900.0,15346.358890049743
2023-11-03,15838.0,15339.67560230378
2023-11-06,15582.099609375,15337.395705988756
2023-11-07,15570.0,15332.738654774806
2023-11-08,15643.599609375,15330.399718838227
2023-11-09,15616.0,15331.152943837957
2023-11-10,15713.7001953125,15350.820203778823
2023-11-13,15683.0,15336.163322091921
2023-11-14,15667.0,15334.024503287792
2023-11-15,15281.0,15321.39905074453
2023-11-16,15487.7998046875,15325.185063276536
2023-11-17,15475.0,15326.38934708361
2023-11-20,15399.400390625,15324.031349926805
2023-11-21,15382.099609375,15316.831630765017
2023-11-22,15501.2998046875,15316.530333688836
2023-11-23,15612.7998046875,15310.394422778621
2023-11-24,15495.0,15309.714530933403
2023-11-27,15560.0,15307.815448786881
2023-11-28,15466.5,15304.717905760055
2023-11-29,15259.0,15299.49146918393
2023-11-30,15407.0,15298.526747403226
2023-12-01,15549.2998046875,15293.102342915648
2023-12-04,15437.400390625,15288.880939350955
2023-12-05,15519.900390625,15293.092136720465
2023-12-06,15457.0,15291.2291148544
2023-12-07,15480.0,15296.106658551425
2023-12-08,15500.0,15294.446411138022
2023-12-11,15560.2001953125,15286.345392706606
2023-12-12,15647.0,15284.690393894338
2023-12-13,15569.0,15276.966163337589
2023-12-14,15275.0,15274.707077095707
2023-12-15,15468.0,15272.687894627248
2023-12-18,15282.7998046875,15271.022591691624
2023-12-19,15454.400390625,15267.039083621139
2023-12-20,15455.0,15260.92410368659
2023-12-21,15518.0,15279.338292088845
2023-12-22,15440.0,15269.867086466666
2023-12-25,15409.2001953125,15265.977728711998
2023-12-26,15460.0,15265.013586225057
2023-12-27,15400.0,15257.375450586951
2023-12-28,15373.0,15258.487095251508
2023-12-29,15425.0,15254.919809635638
2024-01-01,15383.099609375,15253.860072689497
2024-01-02,15383.0,15251.624935624763
2024-01-03,15498.0,15267.505695774265
2024-01-04,15555.0,15279.840539931874
2024-01-05,15511.0,15278.370307682115
2024-01-08,15477.5,15280.307709489789
2024-01-09,15495.5,15277.090119149309
2024-01-10,15534.5,15275.76010894773
2024-01-11,15555.0,15274.283567243565
2024-01-12,15556.5,15272.491116439744
2024-01-15,15503.2001953125,15272.499918473377
2024-01-16,15546.0,15270.986831945262
2024-01-17,15625.0,15285.785431018918
2024-01-18,15624.0,15299.817866561878
2024-01-19,15613.099609375,15290.329117865138
2024-01-22,15601.0,15284.058722729222
2024-01-23,15655.5,15284.268933745305
2024-01-24,15715.0,15279.448776517002
2024-01-25,15714.5,15298.820015419125
2024-01-26,15808.0,15292.463574542982
2024-01-29,15767.599609375,15292.60424489961
2024-01-30,15828.0,15289.538107820172
2024-01-31,15785.0,15290.23646758589
2024-02-01,15769.0,15311.9067647874
2024-02-02,15726.0,15299.777909505867
2024-02-05,15727.2001953125,15296.530436499008
2024-02-06,15711.5,15294.787429834776
2024-02-07,15733.0,15292.727084857082
2024-02-08,15647.0,15292.967582619438
2024-02-09,15660.2998046875,15290.247628240026
2024-02-12,15598.0,15286.679804528578
2024-02-13,15579.5,15299.91948121822
2024-02-14,15661.5,15311.890123450154
2024-02-15,15553.099609375,15300.15218141681
2024-02-16,15672.0,15294.921067534682
2024-02-19,15628.599609375,15300.771758706122
2024-02-20,15634.0,15302.188844099945
2024-02-21,15661.0,15318.670729448288
2024-02-22,15642.0,15321.608701833635
2024-02-23,15588.0,15307.169102214035
2024-02-26,15586.099609375,15307.29493304886
2024-02-27,15638.5,15307.428993578053
2024-02-28,15653.0,15306.548524493923
2024-02-29,15712.2001953125,15309.211272895442
2024-03-01,15704.0,15299.661117532933
2024-03-04,15691.900390625,15296.097798357934
2024-03-05,15766.0,15300.272926577507
2024-03-06,15751.5,15316.807111840842
2024-03-07,15668.0,15309.617778711341
2024-03-08,15621.0,15302.685828871674
2024-03-11,15536.2998046875,15307.621882616875
2024-03-12,15518.0,15312.306664741502
2024-03-13,15546.0,15301.916767724417
2024-03-14,15574.0,15302.390134692942
2024-03-15,15630.0,15315.110150599488
2024-03-18,15639.2998046875,15317.849091528422
2024-03-19,15743.0,15314.534891830544
2024-03-20,15718.0,15310.086671455754
2024-03-21,15687.0,15304.587990812017
2024-03-22,15723.5,15299.838887542186
2024-03-25,15802.599609375,15299.536052037156
2024-03-26,15784.0,15299.164460624414
2024-03-27,15828.0,15300.826903920388
2024-03-28,15877.0,15292.737888508429
2024-03-29,15877.0,15293.523588668686
2024-04-01,15848.0,15292.46146999645
2024-04-02,15945.7998046875,15306.579914396907
2024-04-03,15955.0,15317.602504287672
2024-04-04,15936.0,15317.024408409417
2024-04-05,15904.5,15332.429760430647
2024-04-08,15881.0,15328.668769778482
2024-04-09,15918.0,15330.12422616504
2024-04-10,15892.2998046875,15331.556967259652
2024-04-11,15998.2001953125,15351.634961571588
2024-04-12,16007.0,15349.060345044623
2024-04-15,16111.0,15368.98010347832
2024-04-16,16075.0,15388.033383764474
2024-04-17,16312.2001953125,15393.679170035557
2024-04-18,16246.0,15407.049329225956
2024-04-19,16220.0,15416.279192018234
2024-04-22,16210.2998046875,15431.934713150798
2024-04-23,16246.0,15427.057095299664
2024-04-24,16140.2001953125,15428.854193662892
2024-04-25,16220.0,15438.158578308232
2024-04-26,16202.0,15444.002053226735
2024-04-29,16203.0,15446.189807512743
2024-04-30,16246.0,15448.030260562784
2024-05-01,16273.0,15472.405973448254
2024-05-02,16190.400390625,15477.937815387151
2024-05-03,16097.0,15478.017198141624
2024-05-06,16077.0,15477.936365768785
2024-05-07,16034.0,15478.129101632887
2024-05-08,16073.0,15484.580772185831
2024-05-09,16074.0,15486.949680925787
2024-05-10,16030.0,15485.784370235513
2024-05-13,16038.0,15491.609103120212
2024-05-14,16121.0,15506.689830164107
2024-05-15,16102.0,15504.747543263622
2024-05-16,15914.0,15502.915769787962
2024-05-17,15930.7998046875,15505.828766364635
2024-05-20,15958.0,15503.697034909383
2024-05-21,16031.0,15506.251230475134
2024-05-22,16005.0,15507.881743873579
2024-05-23,16040.7001953125,15511.335473432113
2024-05-24,16095.0,15514.811444163923
2024-05-27,16038.0,15512.710238562695
2024-05-28,16071.0,15514.045838722246
2024-05-29,16117.0,15528.90677366444
2024-05-30,16232.099609375,15541.211957502343
2024-05-31,16228.0,15545.580578970874
2024-06-03,16243.0,15525.535225016754
2024-06-04,16203.0,15534.370237444957
2024-06-05,16276.0,15535.117662967376
2024-06-06,16315.0,15528.638080703116
2024-06-07,16241.7001953125,15530.509854354701
2024-06-10,16270.0,15526.87274068069
2024-06-11,16312.0,15524.380076062323
2024-06-12,16305.400390625,15521.441662717176
2024-06-13,16230.0,15516.051612000594
2024-06-14,16286.0,15516.653277693023
2024-06-17,16479.900390625,15525.096296012895
2024-06-18,16479.0,15520.219149210485
2024-06-19,16379.0,15517.302208423045
2024-06-20,16380.900390625,15518.578219410112
