model,context_len,rmse,mae,mape
pure_lag_transformer_return,64,294.90812006651504,227.43506437844022,1.409792274459358
elasticnet_plus_lag_residual,128,386.35561393613506,314.97346421188337,1.9362408163256655
elasticnet_plus_lag_residual,64,386.3564661127131,314.97435032913154,1.9362462265754807
elasticnet_plus_lag_residual,32,386.361288407618,314.9793584728303,1.9362768005923576
pure_lag_transformer_return,128,798.4923582834049,629.606239657005,3.8475752119235906
