model,order,rmse,mae,mape,aic,bic,fit_seconds
Break_2022_2023_AR10,10,1264.152357380121,1111.2398202091379,6.766621539003724,3547.8297410858836,3589.14290543534,0.02895045280456543
Break_2022_2023_AR21,21,1279.8518992168497,1128.1345214962716,6.871172359380931,3438.36136848349,3520.208227568853,0.07477092742919922
Break_2022_2023_AR5,5,1282.4379833804949,1130.9690080454156,6.888744262276876,3600.566052829843,3623.194699568623,0.02041792869567871
Break_2022_2023_AR1,1,1285.2688535599057,1134.0551205188624,6.907864498266419,3638.812788631992,3646.3804389966517,0.018747329711914062
Break_2022_2023_AR3,3,1286.8434036305346,1135.7683968108784,6.918478063386628,3618.3847309192533,3633.495340212144,0.018862485885620117
