model,order,rmse,mae,mape,aic,bic,fit_seconds
TVP_AR10,10,1277.0646101479333,1125.1467494253868,6.852690222479635,40456.92961769973,40586.22235567992,17.688056468963623
TVP_AR5,5,1281.4462739952533,1129.8905530045834,6.88206412808275,40472.71447481339,40540.455003899944,3.455488681793213
TVP_AR1,1,1284.5681412311933,1133.2912763717586,6.903132009029159,40603.54896093855,40622.027085148875,2.0320754051208496
TVP_AR3,3,1286.7143965494517,1135.6270888479867,6.917602211001805,40498.13871123788,40541.25032867274,2.209653615951538
TVP_AR21,21,1370.3052748266466,1200.060677868967,7.3177682005837505,42337.22471496442,42601.831126878984,91.32555055618286
