,0
p[0->0],0.727706757382558
p[1->0],0.982725550655206
p[2->0],9.763715398185996e-05
p[3->0],0.007368528127398188
p[0->1],0.12441291193725498
p[1->1],8.559673150464626e-05
p[2->1],0.03661649468623567
p[3->1],0.1442979438084753
p[0->2],0.0549291506457667
p[1->2],0.016263152011205095
p[2->2],0.961640293015446
p[3->2],0.007366865563458933
const[0],1.1156363552310786
const[1],2.4342041291855407
const[2],1.178029097713365
const[3],2.9816362490707027
sigma2[0],380.28620000651495
sigma2[1],2226.476595558928
sigma2[2],4926.631183305141
sigma2[3],16076.71243967018
ar.L1[0],-0.020547386697314766
ar.L1[1],-0.8378873134650098
ar.L1[2],-0.12395867870133322
ar.L1[3],-0.3213594406898209
