Date,pred,actual
2023-06-01,14987.240899027396,14984.0
2023-06-02,14942.749341326222,14907.0
2023-06-05,14918.27290824575,14983.0
2023-06-06,14916.015834194246,14849.5
2023-06-07,14896.29345240762,14872.0
2023-06-08,14898.72726392572,14889.0
2023-06-09,14886.496178307487,14836.0
2023-06-12,14852.957104130754,14833.0
2023-06-13,14824.929511075665,14871.5
2023-06-14,14818.763345350082,14869.0
2023-06-15,14763.595882243351,14909.0
2023-06-16,14776.955309151008,14897.0
2023-06-19,14769.939571195131,14928.0
2023-06-20,14733.925327607414,15008.0
2023-06-21,14767.303939908254,15016.0
2023-06-22,14791.791485717169,14943.0
2023-06-23,14790.23584189473,14935.0
2023-06-26,14797.861214977875,14987.0
2023-06-27,14832.505621547707,15039.0
2023-06-28,14864.081694813787,14982.5
2023-06-29,14891.608700539477,14981.0
2023-06-30,14884.438722874236,15064.0
2023-07-03,14886.450208316786,14986.0
2023-07-04,14894.78918217486,15056.0
2023-07-05,14890.704800944772,15010.0
2023-07-06,14877.669079158886,15077.0
2023-07-07,14899.311739129367,15189.2998046875
2023-07-10,14894.7355589128,15128.0
2023-07-11,14875.778430261122,15216.0
2023-07-12,14854.370470065827,15156.7998046875
2023-07-13,14789.560271825609,14928.0
2023-07-14,14767.556837419503,14954.0
2023-07-17,14724.984419388822,14951.0
2023-07-18,14691.685164541705,14982.5
2023-07-19,14706.239754032893,14986.0
2023-07-20,14683.06698865233,14992.0
2023-07-21,14683.600855632661,15051.5
2023-07-24,14683.739535119816,15018.0
2023-07-25,14696.174885003635,15021.5
2023-07-26,14676.542319140057,15032.0
2023-07-27,14692.321973766399,15007.0
2023-07-28,14691.44854748327,15095.0
2023-07-31,14684.787355341947,15088.0
2023-08-01,14725.551074578372,15104.0
2023-08-02,14771.512956736608,15131.0
2023-08-03,14784.564614394154,15220.0
2023-08-04,14811.483458885323,15161.0
2023-08-07,14829.351831895841,15163.0
2023-08-08,14844.065569951961,15232.0
2023-08-09,14864.40477112103,15207.2001953125
2023-08-10,14885.784438377306,15207.0
2023-08-11,14901.704270257076,15259.0
2023-08-14,14912.265425596135,15317.0
2023-08-15,14917.323484016835,15347.0
2023-08-16,14943.414212482634,15311.5
2023-08-17,14951.176871903059,15362.0
2023-08-18,14978.444516718993,15362.5
2023-08-21,14990.007403600675,15278.0
2023-08-22,15001.201796012321,15318.900390625
2023-08-23,14992.080772052672,15317.0
2023-08-24,15007.26105105611,15294.099609375
2023-08-25,14993.378178184008,15239.0
2023-08-28,14981.962357726034,15288.0
2023-08-29,14946.53071774792,15255.5
2023-08-30,14894.767370698615,15196.5
2023-08-31,14847.302725365103,15216.0
2023-09-01,14790.97233960268,15231.0
2023-09-04,14744.657287462693,15233.0
2023-09-05,14708.35948057775,15227.0
2023-09-06,14696.505187294304,15298.0
2023-09-07,14725.029638004335,15336.0
2023-09-08,14720.662627517122,15342.0
2023-09-11,14731.853372618229,15318.0
2023-09-12,14740.583282685651,15339.099609375
2023-09-13,14734.213155266478,15350.2001953125
2023-09-14,14724.234653643445,15353.0
2023-09-15,14736.170357223902,15395.0
2023-09-18,14733.081531283186,15346.0
2023-09-19,14742.137127351452,15377.0
2023-09-20,14723.153645586995,15384.5
2023-09-21,14740.767533033257,15361.0
2023-09-22,14745.076235749444,15400.5
2023-09-25,14764.293999630656,15368.0
2023-09-26,14754.864934096799,15405.0
2023-09-27,14789.216068015914,15493.0
2023-09-28,14818.544847301246,15569.0
2023-09-29,14837.739263480076,15474.0
2023-10-02,14859.06581717912,15448.0
2023-10-03,14845.495632529033,15516.0
2023-10-04,14870.19989455637,15622.0
2023-10-05,14902.43577488574,15591.0
2023-10-06,14912.786611294903,15631.0
2023-10-09,14936.111663618114,15603.0
2023-10-10,14924.952148424827,15691.400390625
2023-10-11,14914.184771533312,15718.5
2023-10-12,14906.403964707175,15693.0
2023-10-13,14919.766712452923,15739.0
2023-10-16,14899.545324179184,15676.0
2023-10-17,14885.624362290186,15675.0
2023-10-18,14879.789838570929,15728.2001953125
2023-10-19,14892.58429279957,15807.0
2023-10-20,14909.69857410633,15856.0
2023-10-23,14893.439614932062,15868.0
2023-10-24,14920.297109667703,15874.0
2023-10-25,14928.407936334483,15868.0
2023-10-26,14941.334874945851,15877.5
2023-10-27,14961.31214568233,15920.0
2023-10-30,14976.503174361062,15903.5
2023-10-31,14958.58085986435,15843.0
2023-11-01,14969.63462743583,15748.7001953125
2023-11-02,14938.50908462396,15900.0
2023-11-03,14922.320330271848,15838.0
2023-11-06,14881.405702197628,15582.099609375
2023-11-07,14875.673531881268,15570.0
2023-11-08,14859.057748895442,15643.599609375
2023-11-09,14858.730337429039,15616.0
2023-11-10,14862.349853417663,15713.7001953125
2023-11-13,14878.844394615291,15683.0
2023-11-14,14862.976983983002,15667.0
2023-11-15,14821.199795291464,15281.0
2023-11-16,14788.962270393296,15487.7998046875
2023-11-17,14726.328817491818,15475.0
2023-11-20,14698.67833733148,15399.400390625
2023-11-21,14678.769204028564,15382.099609375
2023-11-22,14685.193430175817,15501.2998046875
2023-11-23,14659.466552240343,15612.7998046875
2023-11-24,14643.321350669026,15495.0
2023-11-27,14620.129324483752,15560.0
2023-11-28,14585.691615316178,15466.5
2023-11-29,14541.327971943081,15259.0
2023-11-30,14526.643333168258,15407.0
2023-12-01,14491.295288290903,15549.2998046875
2023-12-04,14463.69979124312,15437.400390625
2023-12-05,14459.221669751249,15519.900390625
2023-12-06,14479.402189419538,15457.0
2023-12-07,14449.54052606788,15480.0
2023-12-08,14457.790430356104,15500.0
2023-12-11,14411.587948272892,15560.2001953125
2023-12-12,14398.669900803981,15647.0
2023-12-13,14379.487898792633,15569.0
