feature,best_lag_exog_to_usdidr,best_p_exog_to_usdidr,best_lag_usdidr_to_exog,best_p_usdidr_to_exog,directional_edge_log10
SP500,6,7.016717687259325e-55,1,0.007041099278400853,52.00150646450099
VIX,20,3.677442613566238e-44,88,0.0027141721465245745,40.86809148505586
IHSG,4,2.2673732216001948e-35,5,0.00029990455268167986,31.12146004541407
US_rate,79,4.72454325349227e-15,47,1.444461986777047e-06,8.485346287870986
GOLD,4,6.939973750433303e-14,50,0.00015167803778323862,9.339564873888511
OIL,2,2.520490105633227e-05,89,0.1096366640244258,3.6384708156264463
BI_rate,35,0.12679682110296311,90,0.005663159486466065,-1.3500495731309612
CPI,2,0.25815893945642954,63,0.017090482457465354,-1.1791328454201235
