model,rmse,mae,mape
Diff_AR_only,573.7184445542824,495.8877126092549,3.026601787639084
Diff_AR_exog_diff,1145.1307893886487,964.0461011837293,5.851365114187827
Level_AR_only,1205.3017440827327,1062.4254170844997,6.471046879277162
Level_AR_exog_both,1216.744274419145,1046.8137059215776,6.367278401534953
Naive,1284.2111860163702,1132.902152956298,6.900721166608083
Diff_AR_exog_both,1630.4005696411903,1497.9772314863853,9.205754962355646
Level_AR_exog_diff,1779.267065954241,1539.0737088435228,9.363197824637663
