coef,mean,std,min,max,abs_change_p95
beta.lag1,-0.1096115354955831,0.6046782906868329,-3.100796193248928,3.1188258930676094,1.0010803000399209
beta.lag2,-0.1715244616715562,0.2711740368263271,-0.9944918053520089,0.7476041992362014,0.15386754267659436
beta.lag3,-0.06071813286951232,0.18012392797671345,-0.5350455119817646,0.6706351216394517,0.04469276660688459
beta.lag4,-0.05347638833531308,0.8969190413433638,-10.357473793178901,4.948512731152236,1.3815498746659338
beta.lag5,0.028370894188558204,0.10647566428237026,-0.38200291884782966,0.6981158132359389,0.020268720149124366
beta.lag6,-0.03422856040380561,0.46652472316593985,-3.0631606312060713,1.6812464815594825,0.44919460429192754
beta.lag7,-0.00508199968602742,0.07659177085949197,-0.46833098161889525,0.9705797717944027,0.007201844548063597
beta.lag8,-0.06243013284925205,0.7955818978454674,-7.03922895497734,2.8814785036285553,0.9256039574854174
beta.lag9,0.03776832653559753,0.587645652269408,-2.248837432350509,4.049590598678271,0.5545649986146115
beta.lag10,0.04033800141649944,0.5298734755342296,-3.157007643963894,1.9201152670550288,0.4935365847039041
