model,rmse,directional_hit_rate
ar_p,549.8757234434407,54.054054054054056
ar_plus_trend,434.03338967190876,53.024453024453024
ar_plus_verified_exog,495.99679392171726,51.994851994852
elasticnet_full,369.9137166758141,54.440154440154444
